id,scrape_id,last_scraped,source,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_location,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
981015,20241214212418,2024-12-15,city scrape,"fishermen cottage, Ca'n Pons, s'Estalella (>32d)",5372413,Estalella S.L.,2013-03-08,"S'Estanyol de Migjorn, Spain",within a day,67%,33%,f,14,15,"['email', 'phone']",t,t,"S´Estanyol de Migjorn-Mallorca, Spain",Llucmajor,,39.35604858,2.914144993,Private room in home,Private room,3,1,1,2,$145.00,t,28,58,88,363,2024-12-15,10,0,0,2013-08-04,2019-10-06,4.9,5,4.67,4.89,4.89,5,4.89,f,11
327107,20241214212418,2024-12-15,city scrape,Romantic flat/Castillo + private Pool 4 excl. use,983151,Sabine Petra,2011-08-17,"Munich, Germany",within a few hours,100%,N/A,f,1,9,"['email', 'phone']",t,t,"Sa Rápita, Balearic Islands, Spain",Llucmajor,,39.38086,2.93639,Entire home,Entire home/apt,2,1,1,3,$120.00,t,28,58,88,105,2024-12-15,9,0,0,2014-08-18,2022-08-17,4.67,4.78,4.56,4.44,4.67,4.67,4.56,f,1
328541,20241214212418,2024-12-15,city scrape,Sunny container house with pool | ETV/8687,704889,Balbina,2011-06-15,"Palma de Mallorca, Spain",within an hour,100%,100%,t,1,2,"['email', 'phone', 'work_email']",t,t,"Palma de Mallorca, Balearic Islands, Spain",Palma de Mallorca,,39.58098984,2.664944887,Entire townhouse,Entire home/apt,2,1,1,1,$142.00,t,10,40,66,335,2024-12-15,331,19,0,2012-03-19,2024-10-16,4.79,4.85,4.67,4.95,4.97,4.53,4.6,t,1
335672,20241214212418,2024-12-15,city scrape,"Casa rústica, excelentes vistas al mar en Alcúdia",1202274,Marilén,2011-09-24,"Alcúdia, Spain",within an hour,100%,92%,t,1,1,"['email', 'phone']",t,t,,Alcúdia,,39.84058,3.15525,Entire home,Entire home/apt,4,2,2,3,$200.00,t,25,55,85,360,2024-12-15,203,8,0,2012-04-16,2024-10-15,4.68,4.73,4.85,4.85,4.76,4.75,4.45,f,1
337083,20241214212418,2024-12-15,city scrape,APARTMENT WITH BEATIFUL WIEWS,1714270,Javi,2012-02-07,"Palma de Mallorca, Spain",within an hour,100%,88%,t,1,1,"['email', 'phone']",t,t,"Can Pastilla, Balearic Islands, Spain",Palma de Mallorca,,39.53628,2.71845,Entire condo,Entire home/apt,5,1,2,2,$123.00,t,0,0,1,179,2024-12-15,99,3,0,2012-03-31,2024-08-31,4.73,4.83,4.82,4.92,4.95,4.8,4.72,f,1
691442,20241214212418,2024-12-15,city scrape,Acogedora finca rural con piscina,3534555,Antonio,2012-09-11,"Balearic Islands, Spain",within a day,67%,86%,t,1,1,"['email', 'phone']",t,t,,Selva,,39.74825,2.91315,Entire cottage,Entire home/apt,6,1.5,3,5,$125.00,t,0,0,0,174,2024-12-15,146,13,0,2012-10-21,2024-10-25,4.93,4.9,4.94,4.94,4.93,4.68,4.82,f,1
691585,20241214212418,2024-12-15,city scrape,Wunderschöne authentische Stadtvilla mit Garten,3535280,Ulrike,2012-09-11,"Hamburg, Germany",within an hour,100%,84%,f,2,4,"['email', 'phone']",t,t,"Fornalutx, Balearic Islands, Spain",Fornalutx,,39.78295,2.73975,Entire home,Entire home/apt,6,3.5,3,4,$145.00,t,0,0,14,252,2024-12-15,53,12,0,2016-07-11,2024-10-05,4.74,4.74,4.64,4.81,4.89,4.89,4.75,f,1
711976,20241214212418,2024-12-15,city scrape,Typical rural house with pool and beautiful views.,3664725,Lina,2012-09-24,"Balearic Islands, Spain",within an hour,100%,100%,f,2,2,"['email', 'phone']",t,t,"Inca, Illes Balears, Spain",Inca,,39.7172,2.90869,Entire cottage,Entire home/apt,8,2,4,5,$190.00,t,0,0,0,186,2024-12-15,96,6,0,2013-04-02,2024-10-17,4.65,4.6,4.67,4.88,4.88,4.6,4.63,t,2
714301,20241214212418,2024-12-15,city scrape,Bi-level Exclusive Villa Overlooking Soller Valley,3678792,José,2012-09-26,,within an hour,100%,100%,f,1,1,"['email', 'phone']",t,t,"Sóller, Balearic Islands, Spain",Sóller,,39.76576,2.72867,Entire villa,Entire home/apt,10,6,5,5,$550.00,t,0,0,8,163,2024-12-15,16,4,0,2017-11-19,2024-09-18,4.88,4.88,4.81,4.88,5,4.75,4.75,t,1
732396,20241214212418,2024-12-15,city scrape,Country house with charm and views,3812871,Gotzon,2012-10-09,"Pollença, Spain",within an hour,100%,100%,t,1,4,"['email', 'phone']",t,t,"Pollença, Balearic Islands, Spain",Pollença,,39.87322,2.99146,Entire cottage,Entire home/apt,2,1,1,2,$120.00,t,0,0,0,41,2024-12-15,124,13,0,2013-01-14,2024-10-30,4.89,4.89,4.81,4.97,4.99,4.93,4.74,t,1
